Case,Horizon,GreedyFinalError,LongFinalError,AbsoluteOracleGain,RelativeOracleGain,ActionsDifferent
854,5,0.13237881660461426,0.13237881660461426,0.0,0.0,False
854,10,0.13219398260116577,0.13219398260116577,0.0,0.0,False
854,20,0.13353821635246277,0.1334008127450943,0.00013740360736846924,0.001028945953612291,True
893,5,0.13893954455852509,0.13761070370674133,0.0013288408517837524,0.009564165882406566,True
893,10,0.13893954455852509,0.1365099996328354,0.0024295449256896973,0.017486345830551555,True
893,20,0.13893954455852509,0.13661442697048187,0.002325117588043213,0.016734743124653114,True
998,5,0.14346373081207275,0.14346373081207275,0.0,0.0,False
998,10,0.14328216016292572,0.14328216016292572,0.0,0.0,False
998,20,0.14388543367385864,0.14388543367385864,0.0,0.0,False
802,5,0.14159245789051056,0.14131198823451996,0.0002804696559906006,0.001980823415096585,True
802,10,0.14189055562019348,0.14146660268306732,0.00042395293712615967,0.002987886933510773,True
802,20,0.1427917182445526,0.14049623906612396,0.00229547917842865,0.016075716481661013,True
919,5,0.14163804054260254,0.14163804054260254,0.0,0.0,False
919,10,0.14157065749168396,0.14157065749168396,0.0,0.0,False
919,20,0.14278273284435272,0.14278273284435272,0.0,0.0,False
860,5,0.1424548625946045,0.1420050412416458,0.0004498213529586792,0.0031576412680188585,True
860,10,0.1424548625946045,0.1406712383031845,0.001783624291419983,0.012520627649586025,True
860,20,0.1424548625946045,0.13908569514751434,0.003369167447090149,0.023650771800454898,True
847,5,0.12997175753116608,0.12997175753116608,0.0,0.0,False
847,10,0.12997175753116608,0.12997175753116608,0.0,0.0,False
847,20,0.12997175753116608,0.12997175753116608,0.0,0.0,False
982,5,0.12276656180620193,0.12276656180620193,0.0,0.0,False
982,10,0.12276656180620193,0.12204643338918686,0.0007201284170150757,0.005865835178734281,True
982,20,0.12276656180620193,0.1213095411658287,0.00145702064037323,0.011868220620801194,True
816,5,0.14304661750793457,0.14304661750793457,0.0,0.0,False
816,10,0.1429469883441925,0.1429469883441925,0.0,0.0,False
816,20,0.1438787877559662,0.1422795206308365,0.0015992671251296997,0.011115378090634374,True
911,5,0.1432613879442215,0.1432613879442215,0.0,0.0,False
911,10,0.1431722342967987,0.1431722342967987,0.0,0.0,False
911,20,0.14401695132255554,0.1431722640991211,0.0008446872234344482,0.005865193060104416,True
969,5,0.13842587172985077,0.13815227150917053,0.0002736002206802368,0.001976510729252908,True
969,10,0.13859684765338898,0.1355113536119461,0.003085494041442871,0.02226236811070374,True
969,20,0.1390460580587387,0.13578350841999054,0.003262549638748169,0.023463805333984622,True
914,5,0.1404881477355957,0.1404881477355957,0.0,0.0,False
914,10,0.1404900699853897,0.1404900699853897,0.0,0.0,False
914,20,0.14179877936840057,0.14073120057582855,0.0010675787925720215,0.0075288292136732465,True
937,5,0.1256861835718155,0.12489956617355347,0.0007866173982620239,0.006258582891989562,True
937,10,0.1256861835718155,0.12274454534053802,0.002941638231277466,0.02340462688642822,True
937,20,0.1256861835718155,0.12326456606388092,0.0024216175079345703,0.019267173519919068,True
810,5,0.13613492250442505,0.13608109951019287,5.3822994232177734e-05,0.0003953650778361315,True
810,10,0.13613492250442505,0.13435502350330353,0.001779899001121521,0.013074521719903764,True
810,20,0.13613492250442505,0.1341894119977951,0.0019455105066299438,0.01429104649151804,True
912,5,0.1413005292415619,0.1413005292415619,0.0,0.0,False
912,10,0.14150862395763397,0.14150862395763397,0.0,0.0,False
912,20,0.14244444668293,0.1415780633687973,0.0008663833141326904,0.006082254059796313,True
886,5,0.1387018859386444,0.1387018859386444,0.0,0.0,False
886,10,0.13878370821475983,0.13878370821475983,0.0,0.0,False
886,20,0.13987094163894653,0.13850368559360504,0.0013672560453414917,0.009775125764655498,True
887,5,0.14187933504581451,0.14187933504581451,0.0,0.0,False
