LatentDim,Horizon,MeanRelativeOracleGain,MedianRelativeOracleGain,PositiveGainRate,ActionsDifferentRate,Samples
16,5,4.267641818208856e-05,0.0,0.09375,0.09375,64
16,10,8.037777023675124e-05,0.0,0.140625,0.140625,64
16,20,7.117773572415719e-05,0.0,0.171875,0.171875,64
32,5,7.424488047149746e-05,0.0,0.078125,0.078125,64
32,10,0.00011005513269142563,0.0,0.078125,0.078125,64
32,20,8.21980162724468e-05,0.0,0.15625,0.15625,64
64,5,1.923479433772823e-05,0.0,0.09375,0.09375,64
64,10,3.671574442822405e-05,0.0,0.171875,0.171875,64
64,20,4.738819736773334e-05,0.0,0.265625,0.265625,64
96,5,7.538225358982796e-05,0.0,0.15625,0.15625,64
96,10,0.00016898891467574347,0.0,0.28125,0.28125,64
96,20,0.0001504738979755675,0.0,0.328125,0.328125,64
