LatentDim,Continuation,Stage,ActionsDifferentRate,MeanImmediateGain,MeanTrajectoryGain
16,FixedContraction,Early,0.5494791666666666,-0.005749464389130783,-0.000912990712095052
16,FixedContraction,Middle,0.6986607142857143,-0.01696412919487297,-0.000912990712095052
16,FixedContraction,Late,0.45535714285714285,-0.0028872221580838542,-0.000912990712095052
16,GreedyLocal,Early,0.9479166666666666,-0.01604154709548311,-0.0036005849251523614
16,GreedyLocal,Middle,0.9464285714285714,-0.017367194890019682,-0.0036005849251523614
16,GreedyLocal,Late,0.6450892857142857,-0.007389169251837302,-0.0036005849251523614
32,FixedContraction,Early,0.5703125,-0.007492755791342158,-0.0007614099886268377
32,FixedContraction,Middle,0.6964285714285714,-0.017062772848605943,-0.0007614099886268377
32,FixedContraction,Late,0.4330357142857143,-0.0024744543631771065,-0.0007614099886268377
32,GreedyLocal,Early,0.9635416666666666,-0.015527094530322453,-0.0040537562454119325
32,GreedyLocal,Middle,0.8995535714285714,-0.016579724673907288,-0.0040537562454119325
32,GreedyLocal,Late,0.6316964285714286,-0.008248846796050202,-0.0040537562454119325
64,FixedContraction,Early,0.5442708333333334,-0.008305123277750681,-0.0007874252623878419
64,FixedContraction,Middle,0.7120535714285714,-0.017230500451530264,-0.0007874252623878419
64,FixedContraction,Late,0.4330357142857143,-0.003092506510126571,-0.0007874252623878419
64,GreedyLocal,Early,0.9661458333333334,-0.01688580197696865,-0.003913425898645073
64,GreedyLocal,Middle,0.9464285714285714,-0.017765447189698795,-0.003913425898645073
64,GreedyLocal,Late,0.6227678571428571,-0.006929108066677665,-0.003913425898645073
96,FixedContraction,Early,0.5390625,-0.0064365867619926576,-0.0007648183382116258
96,FixedContraction,Middle,0.6785714285714286,-0.01602171130512683,-0.0007648183382116258
96,FixedContraction,Late,0.4017857142857143,-0.003254211890017749,-0.0007648183382116258
96,GreedyLocal,Early,0.9583333333333334,-0.016234887303653522,-0.00410847325110808
96,GreedyLocal,Middle,0.921875,-0.016530629427766792,-0.00410847325110808
96,GreedyLocal,Late,0.6294642857142857,-0.008220756759588508,-0.00410847325110808
