LatentDim,Continuation,Horizon,Cases,GreedyFinalErrorMean,LongFinalErrorMean,MedianCaseRelativeGain,PositiveCaseRate,ActionsDifferentRate,AbsoluteSequentialGain,RelativeSequentialGain
16,FixedContraction,10,64,0.12558364222059026,0.12580487015657127,0.0,0.375,0.246875,-0.00022122793598100543,-0.001761598342500801
16,FixedContraction,20,64,0.12160996941383928,0.12252296012593433,-0.002678455365515316,0.09375,0.56875,-0.000912990712095052,-0.007507531796082774
16,GreedyLocal,10,64,0.12558364222059026,0.12751815473893657,-0.011324671358370206,0.015625,0.6984375,-0.0019345125183463097,-0.015404175927214298
16,GreedyLocal,20,64,0.12160996941383928,0.12521055433899164,-0.025102609601103304,0.0,0.84140625,-0.0036005849251523614,-0.029607646005563527
32,FixedContraction,10,64,0.12586273497436196,0.12605936138425022,-0.0006232356820410647,0.328125,0.265625,-0.00019662640988826752,-0.0015622289625942104
32,FixedContraction,20,64,0.12139831186505035,0.12215972185367718,-0.0022308208723113487,0.171875,0.56640625,-0.0007614099886268377,-0.006271998159852846
32,GreedyLocal,10,64,0.12586273497436196,0.1280347426654771,-0.013699583102640559,0.015625,0.7109375,-0.002172007691115141,-0.017256956092345965
32,GreedyLocal,20,64,0.12139831186505035,0.12545206811046228,-0.026215643339366206,0.0,0.825,-0.0040537562454119325,-0.033392196177474014
64,FixedContraction,10,64,0.12557012517936528,0.12575529736932367,-0.00012247310686454142,0.390625,0.240625,-0.00018517218995839357,-0.001474651631460049
64,FixedContraction,20,64,0.12139679241226986,0.1221842176746577,-0.0017090315566093096,0.21875,0.5640625,-0.0007874252623878419,-0.006486376177994098
64,GreedyLocal,10,64,0.12557012517936528,0.12789769418304786,-0.012121674927202893,0.015625,0.7,-0.0023275690036825836,-0.018536009264607065
64,GreedyLocal,20,64,0.12139679241226986,0.12531021831091493,-0.02530312214344807,0.0,0.8390625,-0.003913425898645073,-0.03223664992197548
96,FixedContraction,10,64,0.12573602021439,0.12590628932230175,0.0,0.421875,0.2140625,-0.00017026910791173577,-0.0013541792369554347
96,FixedContraction,20,64,0.12127648136811331,0.12204129970632493,-0.0023988420100403028,0.25,0.53984375,-0.0007648183382116258,-0.006306402771450427
96,GreedyLocal,10,64,0.12573602021439,0.1277972319512628,-0.014353815369784128,0.0625,0.6796875,-0.0020612117368727922,-0.01639316826919017
96,GreedyLocal,20,64,0.12127648136811331,0.1253849546192214,-0.027514137078183183,0.0,0.83046875,-0.00410847325110808,-0.03387691665160977
