Method,Steps,Relative L2 mean,Relative L2 std,Relative L2 median,Relative L2 seed mean,Relative L2 seed std,PDE residual norm mean,PDE residual norm std,PDE residual norm median,PDE residual norm seed mean,PDE residual norm seed std,BC error mean,BC error std,BC error median,BC error seed mean,BC error seed std,IC error mean,IC error std,IC error median,IC error seed mean,IC error seed std,wall time mean,wall time std,wall time median,wall time seed mean,wall time seed std,solver steps mean,solver steps std,solver steps median,solver steps seed mean,solver steps seed std,action norm mean,action norm std,action norm median,action norm seed mean,action norm seed std,return mean,return std,return median,return seed mean,return seed std,paired improvement mean,paired improvement std,paired improvement median,paired improvement seed mean,paired improvement seed std,Samples
Base FNO Initializer,1,0.3473617193047647,0.19538287187703718,0.29252634942531586,0.3473617193047647,0.06187351002845827,1342.8168857185929,1172.5443501645336,883.5863342285156,1342.8168857185929,193.30867584057702,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,1.8194550648331642e-06,2.6372440515639763e-06,1.400010660290718e-06,1.8194550648331642e-06,2.0851385655130705e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108
Base FNO Initializer,2,0.3473617193047647,0.19538287187703718,0.29252634942531586,0.3473617193047647,0.06187351002845827,1342.8168857185929,1172.5443501645336,883.5863342285156,1342.8168857185929,193.30867584057702,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,1.537044429116779e-06,1.680428247629686e-06,1.300126314163208e-06,1.5370444291167787e-06,2.7934144822064496e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108
Base FNO Initializer,5,0.3473617193047647,0.19538287187703718,0.29252634942531586,0.3473617193047647,0.06187351002845827,1342.8168857185929,1172.5443501645336,883.5863342285156,1342.8168857185929,193.30867584057702,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,1.2972180869568277e-06,3.2616760999358614e-07,1.200009137392044e-06,1.2972180869568277e-06,1.9853347337027518e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108
Base FNO Initializer,10,0.3473617193047647,0.19538287187703718,0.29252634942531586,0.3473617193047647,0.06187351002845827,1342.8168857185929,1172.5443501645336,883.5863342285156,1342.8168857185929,193.30867584057702,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,1.7203791584405635e-06,2.457109182184293e-06,1.400010660290718e-06,1.7203791584405633e-06,4.1662151463264475e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108
Gradient residual refinement,1,0.3474955513935398,0.19534953986829479,0.2922620624303818,0.3474955513935398,0.06185026772029915,1302.469623989529,1120.2655225713486,868.0514526367188,1302.469623989529,174.40241157891813,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.0056483963077577455,0.002733687348710793,0.004465000005438924,0.0056483963077577455,0.0023609683612073502,1.0,0.0,1.0,1.0,0.0,0.011262991465628147,0.0012565090727125164,0.011274343356490135,0.011262991465628147,0.0010452380152195045,-0.0011738187516685786,0.017006621277684656,-8.76276408234844e-05,-0.0011738187516685784,0.0019036208423749295,-0.00013383208877510496,0.0020364368738364502,-3.088265657424927e-05,-0.00013383208877510496,0.000265445399851067,108
Gradient residual refinement,2,0.3476296588778496,0.19546036342600334,0.2921566069126129,0.3476296588778496,0.06177292112664215,1325.550700434932,1074.5703047618426,909.7076721191406,1325.550700434932,149.79543548880147,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.010366309257396669,0.005155562586343284,0.00753120006993413,0.010366309257396669,0.004821126510358062,2.0,0.0,2.0,2.0,0.0,0.011772099912546023,0.0010583275569165276,0.011753957951441407,0.011772099912546024,0.000886477887425326,-0.0015260801719957978,0.016924140304154005,-0.0005200048813094327,-0.001526080171995798,0.0016135489130407513,-0.00026793957308486653,0.0022157358397625186,-0.00019328296184539795,-0.00026793957308486653,0.00026939785920388707,108
Gradient residual refinement,5,0.3474308781463791,0.19582903040006702,0.2919350862503052,0.3474308781463791,0.06170366184238466,1311.8413342369927,1068.3454393027487,882.8084716796875,1311.8413342369927,138.21727916826683,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.025097628721225732,0.01224433732775743,0.018091849982738495,0.02509762872122573,0.011935841065300526,5.0,0.0,5.0,5.0,0.0,0.013957469287776837,0.0007295862488829102,0.014109689090400935,0.013957469287776837,0.0005324187749208531,4.7616647809447354e-05,0.013510223014848095,-0.0007165116326177667,4.7616647809447394e-05,0.0013235231324197016,-6.915884161437e-05,0.001874341232615348,-0.00021765008568763733,-6.915884161437e-05,0.00030924105640115927,108
Gradient residual refinement,10,0.34726238988891794,0.19609467243776987,0.29084327816963196,0.34726238988891794,0.06154999260770035,1306.9543967070404,1037.2846063310478,925.0810852050781,1306.9543967070401,118.01969335947118,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.06197705185170182,0.026883482301152745,0.07219969993457198,0.06197705185170182,0.022008877699671418,10.0,0.0,10.0,10.0,0.0,0.015251848820803894,0.00046063676363293905,0.015399431856349111,0.015251848820803895,0.0003070082559100735,0.0010313600402087372,0.01616970052421808,-1.4365001788974041e-05,0.0010313600402087372,0.0019797690740734775,9.9329415846754e-05,0.0024623718906225125,-1.259148120880127e-05,9.9329415846754e-05,0.000543521775863328,108
PINN-style refinement,1,0.347338417062053,0.19543012278978683,0.2925235480070114,0.347338417062053,0.06187446830494393,1339.119905065607,1170.7373524838,880.5377197265625,1339.119905065607,192.75042431277885,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.014992868527770042,0.008129310744622123,0.011768599972128868,0.014992868527770042,0.005553391600838098,1.0,0.0,1.0,1.0,0.0,0.0006137789794054159,2.1396384316010805e-05,0.0006191846914589405,0.0006137789794054159,2.1495609608516704e-06,0.0002167387626446658,0.0006685782604205822,-1.2934500773553737e-05,0.00021673876264466577,8.218090786309933e-05,2.3302242711738303e-05,8.706690637126601e-05,-2.5331974029541016e-06,2.3302242711738306e-05,1.3201158327966899e-06,108
PINN-style refinement,2,0.3473228790141918,0.19547288752528574,0.29253505170345306,0.3473228790141918,0.06187648544880985,1335.6520616301784,1168.9484424600387,877.7451477050781,1335.6520616301784,192.19633768702698,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.02690382498419947,0.012476600210851787,0.019970799912698567,0.026903824984199468,0.012111316601432805,2.0,0.0,2.0,2.0,0.0,0.0005968585005407307,2.7000415569857662e-05,0.0006050569209037349,0.0005968585005407307,2.2152756610046374e-06,0.00038888441446471443,0.0012084993013093803,-3.87737695746182e-05,0.00038888441446471443,0.00013871682329880065,3.884029057290819e-05,0.00016239391710504234,-9.194016456604004e-06,3.884029057290819e-05,5.983413961018467e-06,108
