Seed,Method,Steps,Case,PDE residual norm,BC error,IC error
42,Base FNO Initializer,1,0,108.76947784423828,0.0,0.0
42,Gradient residual refinement,1,0,106.0252685546875,0.0,0.0
42,PINN-style refinement,1,0,106.74589538574219,0.0,0.0
42,Supervised Neural Operator Corrector,1,0,86.96247863769531,0.0,0.0
42,TD3 from scratch,1,0,118.02498626708984,0.0,0.0
42,TD3+BC without physics regularization,1,0,119.43712615966797,0.0,0.0
42,RL Neural Operator Solver,1,0,86.96247863769531,0.0,0.0
42,Base FNO Initializer,1,1,4145.19677734375,0.0,0.17247915267944336
42,Gradient residual refinement,1,1,4037.07861328125,0.0,0.17247915267944336
42,PINN-style refinement,1,1,4139.3388671875,0.0,0.17247915267944336
42,Supervised Neural Operator Corrector,1,1,4064.714599609375,0.0,0.17247915267944336
42,TD3 from scratch,1,1,4176.2626953125,0.0,0.17247915267944336
42,TD3+BC without physics regularization,1,1,4148.24951171875,0.0,0.17247915267944336
42,RL Neural Operator Solver,1,1,4064.714599609375,0.0,0.17247915267944336
42,Base FNO Initializer,1,2,3044.205322265625,0.0,0.0
42,Gradient residual refinement,1,2,2939.94140625,0.0,0.0
42,PINN-style refinement,1,2,3038.48095703125,0.0,0.0
42,Supervised Neural Operator Corrector,1,2,2957.8896484375,0.0,0.0
42,TD3 from scratch,1,2,3047.728759765625,0.0,0.0
42,TD3+BC without physics regularization,1,2,3040.106201171875,0.0,0.0
42,RL Neural Operator Solver,1,2,2957.8896484375,0.0,0.0
42,Base FNO Initializer,1,3,449.0837707519531,0.0,0.0
42,Gradient residual refinement,1,3,421.6784362792969,0.0,0.0
42,PINN-style refinement,1,3,446.2132568359375,0.0,0.0
42,Supervised Neural Operator Corrector,1,3,403.5418395996094,0.0,0.0
42,TD3 from scratch,1,3,462.9506530761719,0.0,0.0
42,TD3+BC without physics regularization,1,3,455.38201904296875,0.0,0.0
42,RL Neural Operator Solver,1,3,403.5418395996094,0.0,0.0
42,Base FNO Initializer,1,4,2202.84765625,0.0,0.0
42,Gradient residual refinement,1,4,2104.29931640625,0.0,0.0
42,PINN-style refinement,1,4,2197.310791015625,0.0,0.0
42,Supervised Neural Operator Corrector,1,4,2114.980224609375,0.0,0.0
42,TD3 from scratch,1,4,2215.08984375,0.0,0.0
42,TD3+BC without physics regularization,1,4,2203.209716796875,0.0,0.0
42,RL Neural Operator Solver,1,4,2114.980224609375,0.0,0.0
42,Base FNO Initializer,1,5,1123.4268798828125,0.0,0.0
42,Gradient residual refinement,1,5,1054.59814453125,0.0,0.0
42,PINN-style refinement,1,5,1119.023681640625,0.0,0.0
42,Supervised Neural Operator Corrector,1,5,1050.76416015625,0.0,0.0
42,TD3 from scratch,1,5,1142.7838134765625,0.0,0.0
42,TD3+BC without physics regularization,1,5,1128.875244140625,0.0,0.0
42,RL Neural Operator Solver,1,5,1050.76416015625,0.0,0.0
42,Base FNO Initializer,1,6,1328.7618408203125,0.0,0.0
42,Gradient residual refinement,1,6,1249.812744140625,0.0,0.0
42,PINN-style refinement,1,6,1323.9781494140625,0.0,0.0
42,Supervised Neural Operator Corrector,1,6,1250.1875,0.0,0.0
42,TD3 from scratch,1,6,1349.0352783203125,0.0,0.0
42,TD3+BC without physics regularization,1,6,1333.657958984375,0.0,0.0
42,RL Neural Operator Solver,1,6,1250.1875,0.0,0.0
42,Base FNO Initializer,1,7,300.79931640625,0.0,0.0
