Seed,Method,relative_l2,residual,wall_time,return_mean,paired_improvement
42,Base FNO Initializer,0.40215281065967345,1529.5250064531963,1.1416721261209912e-06,0.0,0.0
42,Gradient residual refinement,0.4012853110002147,1374.9450331793892,0.03201724999558388,0.003788016341797768,0.0008674996594587961
42,PINN-style refinement,0.4019615538418293,1493.9089346196915,0.08783373611125474,0.0009698817980160849,0.00019125681784417894
42,RL Neural Operator Solver,0.3930033962759707,1287.2350512610542,0.05851389445726656,0.03534748560484028,0.009149414383702807
42,Supervised Neural Operator Corrector,0.3930033962759707,1287.2350512610542,0.036803486136098705,0.03534748560484028,0.009149414383702807
42,TD3 from scratch,0.46504733049207264,8750.985799153646,0.05708940278014375,-0.15403607402985622,-0.06289451983239916
42,TD3+BC without physics regularization,0.46132398231161964,6831.214667426215,0.05879422502281765,-0.14647650583436997,-0.05917117165194617
123,Base FNO Initializer,0.260881919413805,1422.4004570908016,1.9139002284242047e-06,0.0,0.0
123,Gradient residual refinement,0.2611430163184802,1404.966377682156,0.06964985000538743,7.713436072127106e-05,-0.00026109690467516583
123,PINN-style refinement,0.2609819235901038,1389.7132908900578,0.18179495555685005,-0.00015335635495479968,-0.00010000417629877727
123,RL Neural Operator Solver,0.2610780596733093,1330.7092492845322,0.11594240276867317,-0.005115946198612973,-0.00019614025950431824
123,Supervised Neural Operator Corrector,0.2610780596733093,1330.7092492845322,0.07400183056920974,-0.005115946198612973,-0.00019614025950431824
123,TD3 from scratch,0.33237948475612533,6426.199022081163,0.11414141946523967,-0.3004290210994769,-0.07149756534232034
123,TD3+BC without physics regularization,0.3402079993651973,5890.400695800781,0.11345823889132589,-0.31973438683634314,-0.07932607995139228
2026,Base FNO Initializer,0.37905042784081566,1076.5251936117809,2.1055651207764945e-06,0.0,0.0
2026,Gradient residual refinement,0.379358842348059,1140.9517792595757,0.08426405555413415,-0.0007710705818928273,-0.00030841450724336837
2026,PINN-style refinement,0.3791195907526546,1053.5205896695454,0.2193113500252366,0.001509701020975424,-6.916291183895535e-05
2026,RL Neural Operator Solver,0.3789655698670281,1036.0507431030273,0.137288908357732,0.011658726065434166,8.485797378751967e-05
2026,Supervised Neural Operator Corrector,0.3789655698670281,1036.0507431030273,0.08403179169140963,0.011658726065434166,8.485797378751967e-05
2026,TD3 from scratch,0.455794509086344,6540.114434136285,0.1300613611108727,-0.2964467429201755,-0.07674408124552833
2026,TD3+BC without physics regularization,0.43926703019274604,4784.2305094401045,0.13522813055897132,-0.2421958036765217,-0.06021660235193041
