Method,Budget,MeanTrajectoryError,FinalError,WallTime,LocalOperatorCalls
Random,16,0.7115214943885804,1.0774492263793944,8.390480699999898,16.0
GradientHeuristic,16,0.725046044588089,1.0794145554304122,8.146504299998924,16.0
SupervisedMyopic,16,0.737413939833641,1.110052216053009,8.318658300000607,16.0
PPO,16,0.7769132614135742,1.0564369648694991,16.360407500000292,16.0
Random,32,0.7114292874932289,1.0526315927505494,8.910014299999602,32.0
GradientHeuristic,32,0.7228525310754776,1.0897456377744674,8.859330299999783,32.0
SupervisedMyopic,32,0.7987825751304627,1.1155386328697205,8.964008099999774,32.0
PPO,32,0.8051373869180679,1.1259133338928222,23.854493200000434,32.0
Random,48,0.7203342616558075,1.0853595852851867,8.922457900000154,48.0
GradientHeuristic,48,0.7375265121459961,1.0297890424728393,8.930341100000078,48.0
SupervisedMyopic,48,0.8399438798427582,1.1729448080062865,9.027003799999875,48.0
PPO,48,0.8278388440608978,1.153789335489273,31.443860999999742,48.0
