Update,Transitions,MeanTrainTrajectoryError
1,864,0.7151500470936298
2,848,0.7359985634684563
3,768,0.7345532104372978
4,800,0.706279257312417
5,704,0.7374000623822212
6,736,0.7584881410002708
7,800,0.7041744161397219
8,736,0.7220915220677853
9,784,0.6676636878401041
10,768,0.7122783437371254
11,736,0.7373364120721817
12,848,0.6981631759554148
13,720,0.7039306741207838
14,800,0.7372189871966839
15,768,0.7161739431321621
16,816,0.7500631734728813
17,640,0.7070945575833321
18,720,0.760133434087038
19,848,0.7451532669365406
20,752,0.7025711834430695
