State,Source,Case,Step,Q,SerialReturn,BatchedReturn,AbsDifference,ExactPatchSetAgreement,JaccardAgreement
0,RVPI,0,0,0,-140.2205105201192,-140.65744018554688,0.43692966542766953,True,1.0
0,RVPI,0,0,1,-138.2458633657612,-139.10833740234375,0.8624740365825403,True,1.0
0,RVPI,0,0,2,-145.03870475527285,-145.56585693359375,0.5271521783209039,True,1.0
0,RVPI,0,0,4,-141.48522909524738,-141.77113342285156,0.28590432760418594,True,1.0
1,RVPI,16,5,0,-167.83755101134463,-168.33883666992188,0.5012856585772454,True,1.0
1,RVPI,16,5,1,-166.60482334294232,-166.485595703125,0.11922763981732487,True,1.0
1,RVPI,16,5,2,-166.05795177949437,-164.65127563476562,1.406676144728749,True,1.0
1,RVPI,16,5,4,-166.0391621754361,-164.73068237304688,1.308479802389229,True,1.0
2,RVPI,0,10,0,-179.96986809036173,-180.00146484375,0.03159675338827128,True,1.0
2,RVPI,0,10,1,-179.82521347011922,-179.3491973876953,0.4760160824239108,True,1.0
2,RVPI,0,10,2,-179.6217067779369,-179.55870056152344,0.06300621641346993,True,1.0
2,RVPI,0,10,4,-178.47992738120325,-178.86993408203125,0.39000670082799616,True,1.0
3,RVPI,16,15,0,-147.10403991650685,-147.1797332763672,0.0756933598603382,True,1.0
3,RVPI,16,15,1,-146.90814918191094,-146.88339233398438,0.02475684792656807,True,1.0
3,RVPI,16,15,2,-147.42329070825184,-147.4227752685547,0.000515439697153397,True,1.0
3,RVPI,16,15,4,-143.8346528845684,-143.40145874023438,0.43319414433403836,True,1.0
4,RVPI,0,20,4,-226.4454397649123,-226.47543334960938,0.029993584697081133,True,1.0
5,RVPI,16,25,4,-157.4580200649984,-157.48001098632812,0.02199092132971714,True,1.0
6,RVPI,0,30,4,-403.3943479876961,-403.40924072265625,0.014892734960142207,True,1.0
7,RVPI,16,35,4,-15033.578098640994,-15033.6357421875,0.0576435465063696,True,1.0
8,RVPI,0,37,4,-3992.3389045294794,-3992.336181640625,0.002722888854350458,True,1.0
9,BeamBC,1,0,0,-17.605388232573656,-17.473453521728516,0.1319347108451403,True,1.0
9,BeamBC,1,0,1,-18.709472381185176,-18.66498565673828,0.0444867244468945,True,1.0
9,BeamBC,1,0,2,-17.825502391312916,-17.95016860961914,0.12466621830622415,True,1.0
9,BeamBC,1,0,4,-18.35571181044217,-18.560319900512695,0.2046080900705256,True,1.0
10,BeamBC,17,5,0,-43.579967258840185,-43.74738311767578,0.1674158588355965,True,1.0
10,BeamBC,17,5,1,-44.70686048977779,-44.760982513427734,0.05412202364994556,True,1.0
10,BeamBC,17,5,2,-44.690283720958156,-44.592750549316406,0.09753317164175002,True,1.0
10,BeamBC,17,5,4,-44.37038047440088,-44.440555572509766,0.07017509810888356,True,1.0
11,BeamBC,1,10,0,-31.695303559151768,-31.68852996826172,0.006773590890048808,True,1.0
11,BeamBC,1,10,1,-31.668342486559936,-31.61971664428711,0.04862584227282696,True,1.0
11,BeamBC,1,10,2,-31.39217773264869,-31.533842086791992,0.1416643541433018,True,1.0
11,BeamBC,1,10,4,-31.724868978940478,-31.708740234375,0.01612874456547786,True,1.0
12,BeamBC,17,15,0,-49.14650760933044,-49.34840393066406,0.20189632133362068,True,1.0
12,BeamBC,17,15,1,-49.98669887123394,-49.961509704589844,0.025189166644096872,True,1.0
12,BeamBC,17,15,2,-49.20520213294733,-49.0760383605957,0.12916377235162457,True,1.0
12,BeamBC,17,15,4,-49.964259084678886,-49.95419692993164,0.0100621547472457,True,1.0
13,BeamBC,1,20,4,-35.99723870859406,-36.024391174316406,0.027152465722345198,True,1.0
14,BeamBC,17,25,4,-58.679656798649916,-58.68252182006836,0.0028650214184438028,True,1.0
15,BeamBC,1,30,4,-41.31076694832172,-41.31416702270508,0.003400074383357321,True,1.0
