Seed,Method,TrajectoryRelativeL2,FinalFrameRelativeL2,LocalCalls
42,BeamBC,0.10128332499414679,0.16180380441248413,76.0
42,CoarseOnly,0.10164692364633078,0.1346630405262112,0.0
42,GradientMacro,0.10977373968809839,0.23989329937845466,76.0
42,ImmediateOnlyPI,0.10384063635021443,0.1263025755062699,76.0
42,RVPI,0.09775808732956642,0.15296536240726705,76.0
42,RandomMacro,0.10579685930162665,0.16267993241548534,76.0
42,SetAwareMyopicMacro,0.10963947895914312,0.2329404310882091,76.0
42,UniformMacro,0.10744788397103544,0.20243911962956188,76.0
123,BeamBC,0.10128332499414679,0.16180380441248413,76.0
123,CoarseOnly,0.10164692364633078,0.1346630405262112,0.0
123,GradientMacro,0.10977373968809839,0.23989329937845466,76.0
123,ImmediateOnlyPI,0.10128332499414679,0.16180380441248413,76.0
123,RVPI,0.10169917345046993,0.17906034581363198,76.0
123,RandomMacro,0.1041980897262692,0.13117151059210297,76.0
123,SetAwareMyopicMacro,0.10963947895914312,0.2329404310882091,76.0
123,UniformMacro,0.10744788397103544,0.20243911962956188,76.0
2026,BeamBC,0.10128332499414679,0.16180380441248413,76.0
2026,CoarseOnly,0.10164692364633078,0.1346630405262112,0.0
2026,GradientMacro,0.10977373968809839,0.23989329937845466,76.0
2026,ImmediateOnlyPI,0.10056469712406393,0.13408952865749593,76.0
2026,RVPI,0.09916890922933812,0.13379439745098348,76.0
2026,RandomMacro,0.10539729271084067,0.17640788491815326,76.0
2026,SetAwareMyopicMacro,0.10963947895914312,0.2329404310882091,76.0
2026,UniformMacro,0.10744788397103544,0.20243911962956188,76.0
