Case,Seed,Method,TrajectoryRelativeL2,FinalFrameRelativeL2,LocalCalls
803,42,CoarseOnly,0.11275196075439453,0.17357178032398224,0
835,42,CoarseOnly,0.04509896785020828,0.049807753413915634,0
871,42,CoarseOnly,0.04518742859363556,0.057025156915187836,0
979,42,CoarseOnly,0.0890691727399826,0.1483985185623169,0
980,42,CoarseOnly,0.08997780084609985,0.15061716735363007,0
834,42,CoarseOnly,0.04385625198483467,0.10835263133049011,0
829,42,CoarseOnly,0.10103943943977356,0.1668081283569336,0
981,42,CoarseOnly,0.04625023156404495,0.06028813123703003,0
808,42,CoarseOnly,0.06398860365152359,0.058310411870479584,0
965,42,CoarseOnly,0.04787103459239006,0.06185097619891167,0
934,42,CoarseOnly,0.06645042449235916,0.061560098081827164,0
971,42,CoarseOnly,0.07023690640926361,0.07181383669376373,0
861,42,CoarseOnly,0.5049211978912354,0.4907531440258026,0
977,42,CoarseOnly,0.07420091331005096,0.0884079784154892,0
990,42,CoarseOnly,0.05806076154112816,0.05828001722693443,0
828,42,CoarseOnly,0.04433364421129227,0.16435250639915466,0
858,42,CoarseOnly,0.12479317933320999,0.17556697130203247,0
938,42,CoarseOnly,0.4743615388870239,0.17097648978233337,0
976,42,CoarseOnly,0.043857574462890625,0.11327054351568222,0
955,42,CoarseOnly,0.043866921216249466,0.11924576014280319,0
872,42,CoarseOnly,0.1013491302728653,0.16706588864326477,0
867,42,CoarseOnly,0.07289816439151764,0.08244910836219788,0
841,42,CoarseOnly,0.043963707983493805,0.08819149434566498,0
830,42,CoarseOnly,0.04443738982081413,0.054629866033792496,0
946,42,CoarseOnly,0.42751020193099976,0.1509050726890564,0
952,42,CoarseOnly,0.044137679040431976,0.15123462677001953,0
923,42,CoarseOnly,0.045064568519592285,0.05131736397743225,0
925,42,CoarseOnly,0.04489612206816673,0.19322513043880463,0
953,42,CoarseOnly,0.04403594508767128,0.1429847627878189,0
846,42,CoarseOnly,0.12301906943321228,0.16336628794670105,0
930,42,CoarseOnly,0.06479007005691528,0.05894158408045769,0
863,42,CoarseOnly,0.04513225704431534,0.04591657593846321,0
899,42,CoarseOnly,0.05847163125872612,0.05805415287613869,0
821,42,CoarseOnly,0.06383436918258667,0.05814708024263382,0
910,42,CoarseOnly,0.12047627568244934,0.17545931041240692,0
921,42,CoarseOnly,0.1359737664461136,0.1705840528011322,0
909,42,CoarseOnly,0.1322706639766693,0.17327377200126648,0
843,42,CoarseOnly,0.08507267385721207,0.13658809661865234,0
902,42,CoarseOnly,0.05945274233818054,0.05765576660633087,0
957,42,CoarseOnly,0.0450848825275898,0.042886096984148026,0
852,42,CoarseOnly,0.06348066031932831,0.05783870071172714,0
856,42,CoarseOnly,0.13650162518024445,0.17266060411930084,0
906,42,CoarseOnly,0.10261964052915573,0.16807499527931213,0
869,42,CoarseOnly,0.0846870169043541,0.13523104786872864,0
839,42,CoarseOnly,0.05604822561144829,0.059346262365579605,0
908,42,CoarseOnly,0.09633177518844604,0.16182875633239746,0
832,42,CoarseOnly,0.04586624354124069,0.23231425881385803,0
907,42,CoarseOnly,0.055673398077487946,0.05961727350950241,0
920,42,CoarseOnly,0.45419394969940186,0.15417928993701935,0
837,42,CoarseOnly,0.0659017488360405,0.060612767934799194,0
864,42,CoarseOnly,0.12215302139520645,0.1642296463251114,0
875,42,CoarseOnly,0.0493442676961422,0.062210455536842346,0
935,42,CoarseOnly,0.17512065172195435,0.15531490743160248,0
967,42,CoarseOnly,0.06181763485074043,0.057208675891160965,0
900,42,CoarseOnly,0.22958028316497803,0.15892229974269867,0
891,42,CoarseOnly,0.04514305666089058,0.05687033012509346,0
927,42,CoarseOnly,0.046504758298397064,0.06080300360918045,0
956,42,CoarseOnly,0.1636018306016922,0.15763290226459503,0
964,42,CoarseOnly,0.07885795831680298,0.11081964522600174,0
806,42,CoarseOnly,0.045112334191799164,0.2027093917131424,0
983,42,CoarseOnly,0.12828285992145538,0.17493176460266113,0
888,42,CoarseOnly,0.4356209337711334,0.14706407487392426,0
845,42,CoarseOnly,0.10491347312927246,0.169672429561615,0
929,42,CoarseOnly,0.0843033567070961,0.13388444483280182,0
865,42,CoarseOnly,0.05254556983709335,0.06127182021737099,0
939,42,CoarseOnly,0.07695519924163818,0.10167665034532547,0
995,42,CoarseOnly,0.04612074792385101,0.06022845581173897,0
932,42,CoarseOnly,0.04509105905890465,0.04319077357649803,0
993,42,CoarseOnly,0.049702923744916916,0.06208815798163414,0
918,42,CoarseOnly,0.12750297784805298,0.1751163750886917,0
949,42,CoarseOnly,0.04502098262310028,0.04209937900304794,0
951,42,CoarseOnly,0.055779144167900085,0.05963841453194618,0
842,42,CoarseOnly,0.1372341811656952,0.17570146918296814,0
985,42,CoarseOnly,0.13363142311573029,0.16308948397636414,0
827,42,CoarseOnly,0.07599622011184692,0.0970064252614975,0
866,42,CoarseOnly,0.04636961594223976,0.06054789572954178,0
820,42,CoarseOnly,0.04979600012302399,0.06203996762633324,0
836,42,CoarseOnly,0.053360600024461746,0.060933224856853485,0
853,42,CoarseOnly,0.049891531467437744,0.06215494126081467,0
897,42,CoarseOnly,0.056677624583244324,0.05896364897489548,0
800,42,CoarseOnly,0.04389156028628349,0.09825768321752548,0
824,42,CoarseOnly,0.06355411559343338,0.057911716401576996,0
913,42,CoarseOnly,0.07324212789535522,0.0839887261390686,0
978,42,CoarseOnly,0.11503177136182785,0.17430919408798218,0
849,42,CoarseOnly,0.05991337448358536,0.057457514107227325,0
813,42,CoarseOnly,0.05871611833572388,0.057927463203668594,0
962,42,CoarseOnly,0.10837604105472565,0.17160670459270477,0
879,42,CoarseOnly,0.04503080993890762,0.0542060025036335,0
823,42,CoarseOnly,0.09416887909173965,0.1587296724319458,0
968,42,CoarseOnly,0.08606548607349396,0.13987459242343903,0
997,42,CoarseOnly,0.12210039049386978,0.16425015032291412,0
892,42,CoarseOnly,0.3569349944591522,0.18303965032100677,0
840,42,CoarseOnly,0.07738638669252396,0.10374090820550919,0
826,42,CoarseOnly,0.044635552912950516,0.18079423904418945,0
895,42,CoarseOnly,0.5099113583564758,1.9790400266647339,0
915,42,CoarseOnly,0.04510047286748886,0.043647315353155136,0
903,42,CoarseOnly,0.04394448176026344,0.133520245552063,0
991,42,CoarseOnly,0.05205634608864784,0.06146838515996933,0
804,42,CoarseOnly,0.045344773679971695,0.212362602353096,0
970,42,CoarseOnly,0.09390555322170258,0.15831215679645538,0
803,42,RandomMacro,0.11273890733718872,0.15748611092567444,76
835,42,RandomMacro,0.046847593039274216,0.10599201172590256,76
871,42,RandomMacro,0.046327125281095505,0.08142724633216858,76
979,42,RandomMacro,0.08953158557415009,0.13628578186035156,76
980,42,RandomMacro,0.09263137727975845,0.13574069738388062,76
834,42,RandomMacro,0.044443000108003616,0.11675870418548584,76
829,42,RandomMacro,0.10286421328783035,0.15073978900909424,76
981,42,RandomMacro,0.04722047597169876,0.0827629417181015,76
808,42,RandomMacro,0.06857001781463623,0.06880968809127808,76
965,42,RandomMacro,0.05037457495927811,0.07352671027183533,76
934,42,RandomMacro,0.06832676380872726,0.0765090137720108,76
971,42,RandomMacro,0.07223474234342575,0.09190107882022858,76
861,42,RandomMacro,0.6072388291358948,1.5605106353759766,76
977,42,RandomMacro,0.07475850731134415,0.09383152425289154,76
990,42,RandomMacro,0.058151036500930786,0.06982723623514175,76
828,42,RandomMacro,0.04529445990920067,0.15217117965221405,76
858,42,RandomMacro,0.12804165482521057,0.151777982711792,76
938,42,RandomMacro,0.600620448589325,0.3195509910583496,76
976,42,RandomMacro,0.04517195746302605,0.13857582211494446,76
955,42,RandomMacro,0.04501095041632652,0.1177562028169632,76
872,42,RandomMacro,0.10128479450941086,0.1480036973953247,76
867,42,RandomMacro,0.07619587332010269,0.08941338211297989,76
841,42,RandomMacro,0.04534750431776047,0.07704639434814453,76
830,42,RandomMacro,0.045391637831926346,0.10189013928174973,76
946,42,RandomMacro,0.3990124464035034,0.17918507754802704,76
952,42,RandomMacro,0.04513989016413689,0.13609814643859863,76
923,42,RandomMacro,0.045068539679050446,0.07657060027122498,76
925,42,RandomMacro,0.045052915811538696,0.1823710948228836,76
953,42,RandomMacro,0.04506129398941994,0.13490214943885803,76
846,42,RandomMacro,0.12750303745269775,0.14796409010887146,76
930,42,RandomMacro,0.06609184294939041,0.058742228895425797,76
863,42,RandomMacro,0.04630230739712715,0.08534076809883118,76
899,42,RandomMacro,0.06433776766061783,0.06618019938468933,76
821,42,RandomMacro,0.06900616735219955,0.07915443927049637,76
910,42,RandomMacro,0.11538747698068619,0.15599891543388367,76
921,42,RandomMacro,0.14272862672805786,0.1459028124809265,76
909,42,RandomMacro,0.13172787427902222,0.1541987508535385,76
843,42,RandomMacro,0.08748678117990494,0.1424669325351715,76
902,42,RandomMacro,0.06405886262655258,0.07918975502252579,76
957,42,RandomMacro,0.04661376401782036,0.08350703120231628,76
852,42,RandomMacro,0.06363432854413986,0.0818222239613533,76
856,42,RandomMacro,0.15654592216014862,0.15676026046276093,76
906,42,RandomMacro,0.10231657326221466,0.1517496407032013,76
869,42,RandomMacro,0.08876903355121613,0.12501153349876404,76
839,42,RandomMacro,0.05860156565904617,0.05995197221636772,76
908,42,RandomMacro,0.09463540464639664,0.14696630835533142,76
832,42,RandomMacro,0.046684492379426956,0.21632269024848938,76
907,42,RandomMacro,0.05812814459204674,0.07656601816415787,76
920,42,RandomMacro,0.521755576133728,0.9276473522186279,76
837,42,RandomMacro,0.06655070185661316,0.05314275994896889,76
864,42,RandomMacro,0.13053877651691437,0.14682279527187347,76
875,42,RandomMacro,0.05168589949607849,0.09123236685991287,76
935,42,RandomMacro,0.24730205535888672,0.1582687944173813,76
967,42,RandomMacro,0.06200837343931198,0.08016934245824814,76
900,42,RandomMacro,0.14449547231197357,0.16007329523563385,76
891,42,RandomMacro,0.04578525200486183,0.10600778460502625,76
927,42,RandomMacro,0.04903532192111015,0.09963327646255493,76
956,42,RandomMacro,0.23837417364120483,0.15799769759178162,76
964,42,RandomMacro,0.07945410162210464,0.11110568046569824,76
806,42,RandomMacro,0.04533260315656662,0.18613247573375702,76
983,42,RandomMacro,0.1298638880252838,0.1552620679140091,76
888,42,RandomMacro,0.39174866676330566,0.4633667469024658,76
845,42,RandomMacro,0.10321347415447235,0.15181756019592285,76
929,42,RandomMacro,0.0848548635840416,0.12024786323308945,76
865,42,RandomMacro,0.053933095186948776,0.08042318373918533,76
939,42,RandomMacro,0.07849933952093124,0.10070648044347763,76
995,42,RandomMacro,0.049512989819049835,0.12914788722991943,76
932,42,RandomMacro,0.04774941876530647,0.06081150099635124,76
993,42,RandomMacro,0.05369529500603676,0.06416693329811096,76
918,42,RandomMacro,0.1274416744709015,0.16839390993118286,76
949,42,RandomMacro,0.04533766955137253,0.059029243886470795,76
951,42,RandomMacro,0.054016511887311935,0.0851282849907875,76
842,42,RandomMacro,0.1450953632593155,0.17440415918827057,76
985,42,RandomMacro,0.14979106187820435,0.15368282794952393,76
827,42,RandomMacro,0.0752931758761406,0.10169782489538193,76
866,42,RandomMacro,0.04986577853560448,0.0914527028799057,76
820,42,RandomMacro,0.052601661533117294,0.08992835134267807,76
836,42,RandomMacro,0.054856717586517334,0.07930859178304672,76
853,42,RandomMacro,0.052652906626462936,0.05788779631257057,76
897,42,RandomMacro,0.058747515082359314,0.07934937626123428,76
800,42,RandomMacro,0.04401431605219841,0.09849841892719269,76
824,42,RandomMacro,0.06657388806343079,0.07097715139389038,76
913,42,RandomMacro,0.07331383228302002,0.09123481065034866,76
978,42,RandomMacro,0.11929403990507126,0.16396766901016235,76
849,42,RandomMacro,0.06310227513313293,0.0702437087893486,76
813,42,RandomMacro,0.06198304519057274,0.06741943210363388,76
962,42,RandomMacro,0.10898422449827194,0.15279851853847504,76
879,42,RandomMacro,0.047165628522634506,0.0777115449309349,76
823,42,RandomMacro,0.09594351798295975,0.14658918976783752,76
968,42,RandomMacro,0.086992047727108,0.12515448033809662,76
997,42,RandomMacro,0.14977817237377167,0.15375110507011414,76
892,42,RandomMacro,0.2557412087917328,0.146717369556427,76
840,42,RandomMacro,0.07658565044403076,0.10070700198411942,76
826,42,RandomMacro,0.04494445025920868,0.1741180568933487,76
895,42,RandomMacro,0.531733512878418,2.0523641109466553,76
915,42,RandomMacro,0.04680098220705986,0.05389810726046562,76
903,42,RandomMacro,0.04507695883512497,0.1256401687860489,76
991,42,RandomMacro,0.053406309336423874,0.08079704642295837,76
804,42,RandomMacro,0.04584237188100815,0.20604757964611053,76
970,42,RandomMacro,0.09680703282356262,0.1436922550201416,76
803,42,UniformMacro,0.11082830280065536,0.16368833184242249,76
835,42,UniformMacro,0.047274649143218994,0.07321102917194366,76
871,42,UniformMacro,0.04809335619211197,0.08670627325773239,76
979,42,UniformMacro,0.09060424566268921,0.14044740796089172,76
980,42,UniformMacro,0.09150991588830948,0.14234234392642975,76
834,42,UniformMacro,0.04457490146160126,0.10711394250392914,76
829,42,UniformMacro,0.09985709935426712,0.15715734660625458,76
981,42,UniformMacro,0.04916933923959732,0.09017008543014526,76
808,42,UniformMacro,0.06718792766332626,0.07445375621318817,76
965,42,UniformMacro,0.05022917687892914,0.09591206163167953,76
934,42,UniformMacro,0.06894288212060928,0.06501979380846024,76
971,42,UniformMacro,0.07296114414930344,0.07732662558555603,76
861,42,UniformMacro,0.4968991279602051,0.16577069461345673,76
977,42,UniformMacro,0.07441036403179169,0.09574175626039505,76
990,42,UniformMacro,0.06228899583220482,0.0785536989569664,76
828,42,UniformMacro,0.045085836201906204,0.15611059963703156,76
858,42,UniformMacro,0.12384450435638428,0.16692303121089935,76
938,42,UniformMacro,0.586208701133728,0.3957884609699249,76
976,42,UniformMacro,0.044573429971933365,0.11162140220403671,76
955,42,UniformMacro,0.04463330656290054,0.12208651006221771,76
872,42,UniformMacro,0.10032384842634201,0.15736758708953857,76
867,42,UniformMacro,0.07581841200590134,0.09205502271652222,76
841,42,UniformMacro,0.044732604175806046,0.09385961294174194,76
830,42,UniformMacro,0.044768013060092926,0.062409136444330215,76
946,42,UniformMacro,0.4713573753833771,1.9359103441238403,76
952,42,UniformMacro,0.044908180832862854,0.1547655314207077,76
