PDE,Method,TrajectoryMean,TrajectoryStd,GainVsRandom,GainVsMyopic,GainVsImmediate,Budget,PhysicalSteps
ShallowWater,BeamBC,0.7394034743309023,0.0,-4.421800813390044,-0.3049261615213319,-1.2541040370411507,32,16
ShallowWater,CoarseOnly,0.7403468310832976,0.0,-4.555025790434859,-0.43289868623608413,-1.3832875560089475,32,16
ShallowWater,GradientMacro,0.7694246983528137,0.0,-8.661529708127777,-4.377501911210996,-5.365218260820902,32,16
ShallowWater,ImmediateOnlyPI,0.7302454368273418,0.0005713693300392,-3.128462600577726,0.9374216329765626,0.0,32,16
ShallowWater,RV-PI,0.6910258269309998,0.0087788716918849,2.4103026808278822,6.257818698051379,5.37074357721937,32,16
ShallowWater,RandomMacro,0.7080930117766062,0.0054198794032441,0.0,3.942543242694972,3.0335588465954695,32,16
ShallowWater,SetAwareMyopicMacro,0.7371556937694551,0.0,-4.104359386336915,0.0,-0.9462923824811502,32,16
ShallowWater,UniformMacro,0.7371556937694551,0.0,-4.104359386336915,0.0,-0.9462923824811502,32,16
Brusselator,BeamBC,0.10128332499414679,0.0,3.659654623292066,7.621482739908165,0.6014889447312222,76,38
Brusselator,CoarseOnly,0.10164692364633078,0.0,3.3138008538592807,7.289851601530093,0.2446566166961762,76,38
Brusselator,GradientMacro,0.10977373968809839,0.0,-4.416398212197335,-0.1224565550929882,-7.730924894065407,76,38
Brusselator,ImmediateOnlyPI,0.10189621948947504,0.0017218229293863685,3.076671517604932,7.062473794274041,0.0,76,38
Brusselator,RVPI,0.09954205666979149,0.001996864845785075,5.315942978473981,9.209659134839935,2.310353447339343,76,38
Brusselator,RandomMacro,0.1051307472462455,0.00083204621403762,0.0,4.11232500893021,-3.1743353904357208,76,38
Brusselator,SetAwareMyopicMacro,0.10963947895914312,0.0,-4.2886898752245255,0.0,-7.599162666155532,76,38
Brusselator,UniformMacro,0.10744788397103544,0.0,-2.20405236858305,1.998910437110319,-5.44835177337844,76,38
