Method,Budget,TrajectoryRelativeL2,FinalFrameRelativeL2,LocalCalls,WallTime,Seed,RelativeGainVsMyopic,RelativeGainVsBeamBC
CoarseOnly,32,0.7403468310832977,1.056560012102127,0.0,19.45003169999836,42,-0.4328986862361143,-0.1275834892781913
RandomMacro,32,0.7125880408287049,1.031772974729538,32.0,26.509505900001383,42,3.332763098542064,3.62663071423393
UniformMacro,32,0.737155693769455,1.0172574305534363,32.0,25.668674200001988,42,0.0,0.30399918846489
GradientMacro,32,0.7694246983528137,1.210167157649994,32.0,26.74749979999615,42,-4.377501911211011,-4.060195152461005
SetAwareMyopicMacro,32,0.737155693769455,1.0172574305534363,32.0,25.642762499999662,42,0.0,0.30399918846489
BeamBC,32,0.7394034743309021,1.080302882194519,32.0,26.6960923000006,42,-0.3049261615213319,0.0
RV-PI,32,0.6852503514289856,0.9608875346183776,32.0,26.64832500000193,42,7.041299793134713,7.323893487371094
ImmediateOnlyPI,32,0.7299457705020904,1.081450527906418,32.0,26.53941379999742,42,0.978073333531014,1.2790991869993782
CoarseOnly,32,0.7403468310832977,1.056560012102127,0.0,22.52278790000128,123,-0.4328986862361143,-0.1275834892781913
RandomMacro,32,0.7020744061470032,1.0094023323059085,32.0,31.875372200003767,123,4.7590065326719735,5.04853837989855
UniformMacro,32,0.737155693769455,1.0172574305534363,32.0,43.562591200003226,123,0.0,0.30399918846489
GradientMacro,32,0.7694246983528137,1.210167157649994,32.0,47.46335479999834,123,-4.377501911211011,-4.060195152461005
SetAwareMyopicMacro,32,0.737155693769455,1.0172574305534363,32.0,42.64663319999818,123,0.0,0.30399918846489
BeamBC,32,0.7394034743309021,1.080302882194519,32.0,30.820050700000134,123,-0.3049261615213319,0.0
RV-PI,32,0.7011282372474671,1.0234802663326263,32.0,30.704255199998443,123,4.887360543572696,5.176502195647771
ImmediateOnlyPI,32,0.730904301404953,1.0831581914424897,32.0,30.647967799995968,123,0.8480423358782501,1.1494634825242316
CoarseOnly,32,0.7403468310832977,1.056560012102127,0.0,19.33773869999277,2026,-0.4328986862361143,-0.1275834892781913
RandomMacro,32,0.7096165883541107,1.0209193813800812,32.0,25.97409730000072,2026,3.73586009687082,4.028502300959039
UniformMacro,32,0.737155693769455,1.0172574305534363,32.0,25.521156499991772,2026,0.0,0.30399918846489
GradientMacro,32,0.7694246983528137,1.210167157649994,32.0,26.17916710001009,2026,-4.377501911211011,-4.060195152461005
SetAwareMyopicMacro,32,0.737155693769455,1.0172574305534363,32.0,25.526627200000803,2026,0.0,0.30399918846489
BeamBC,32,0.7394034743309021,1.080302882194519,32.0,26.93193780000729,2026,-0.3049261615213319,0.0
RV-PI,32,0.6866988921165467,0.9619070768356324,32.0,26.344324999998207,2026,6.844795757446685,7.127986822356858
ImmediateOnlyPI,32,0.7298862385749817,1.0819426143169404,32.0,26.7574323000008,2026,0.9861492295204092,1.287150532330504
