Method,Steps,Relative L2,PDE residual norm,BC error,IC error,Physics energy,Wall time,Refinement steps,STOP,Failure,Per-step improvement,Samples
Gradient,1,0.113822 +/- 0.049001,3087.56 +/- 2836.33,0 +/- 0,0.310412 +/- 0.606363,3090.66 +/- 2841.91,0.00569226 +/- 0.00302844,1 +/- 0,0 +/- 0,0 +/- 0,-0.00913655 +/- 0.0231553,24
Gradient,2,0.105886 +/- 0.0376961,2698.78 +/- 2871.98,0 +/- 0,0.310412 +/- 0.606363,2701.89 +/- 2877.41,0.0096008 +/- 0.00152098,2 +/- 0,0 +/- 0,0 +/- 0,-0.000600273 +/- 0.00251628,24
Gradient,5,0.107345 +/- 0.0400992,2775.45 +/- 2634.72,0 +/- 0,0.310412 +/- 0.606363,2778.55 +/- 2640.15,0.0219791 +/- 0.00482049,5 +/- 0,0 +/- 0,0 +/- 0,-0.00053181 +/- 0.00209728,24
Gradient,10,0.10281 +/- 0.035267,2519.32 +/- 2750.74,0 +/- 0,0.310412 +/- 0.606363,2522.42 +/- 2756.09,0.0481315 +/- 0.00513935,10 +/- 0,0 +/- 0,0 +/- 0,0.000187545 +/- 0.000206556,24
PINN,1,0.104775 +/- 0.0363514,2937.59 +/- 3636.7,0 +/- 0,0.310412 +/- 0.606363,2940.7 +/- 3642.23,0.0709454 +/- 0.307194,1 +/- 0,0 +/- 0,0 +/- 0,-8.97047e-05 +/- 0.000472307,24
PINN,2,0.104851 +/- 0.0365478,2925.12 +/- 3623.3,0 +/- 0,0.310412 +/- 0.606363,2928.22 +/- 3628.82,0.0132784 +/- 0.00300995,2 +/- 0,0 +/- 0,0 +/- 0,-8.29568e-05 +/- 0.000445903,24
PINN,5,0.104984 +/- 0.0369274,2891.54 +/- 3585.11,0 +/- 0,0.310412 +/- 0.606363,2894.64 +/- 3590.64,0.0297619 +/- 0.00454775,5 +/- 0,0 +/- 0,0 +/- 0,-5.96033e-05 +/- 0.000349056,24
PINN,10,0.105111 +/- 0.0372573,2843.98 +/- 3527.66,0 +/- 0,0.310412 +/- 0.606363,2847.08 +/- 3533.19,0.0616542 +/- 0.00879669,10 +/- 0,0 +/- 0,0 +/- 0,-4.25125e-05 +/- 0.000267932,24
RL-FM,1,0.125948 +/- 0.0974919,2967.78 +/- 3680.87,0 +/- 0,0.310412 +/- 0.606363,2970.89 +/- 3686.42,0.0123406 +/- 0.00216718,0.833333 +/- 0.372678,0.166667 +/- 0.372678,0 +/- 0,-0.0212626 +/- 0.075557,24
RL-FM,2,0.115797 +/- 0.0365508,3005.43 +/- 3693.39,0 +/- 0,0.310412 +/- 0.606363,3008.53 +/- 3698.89,0.0216968 +/- 0.00639161,1.29167 +/- 0.789471,0.5 +/- 0.5,0 +/- 0,-0.00555562 +/- 0.00895228,24
RL-FM,5,0.141308 +/- 0.139923,3029.52 +/- 3744.6,0 +/- 0,0.310412 +/- 0.606363,3032.62 +/- 3750.15,0.0342475 +/- 0.0241915,2.33333 +/- 2.03443,0.666667 +/- 0.471405,0 +/- 0,-0.00732451 +/- 0.0239303,24
RL-FM,10,0.120867 +/- 0.0506791,3180.7 +/- 3898.65,0 +/- 0,0.310412 +/- 0.606363,3183.8 +/- 3904.09,0.0585777 +/- 0.0489652,4.375 +/- 4.41411,0.625 +/- 0.484123,0 +/- 0,-0.00161813 +/- 0.00217915,24
Supervised FM + physics selection,1,0.117332 +/- 0.0400562,2940.92 +/- 3635.99,0 +/- 0,0.310412 +/- 0.606363,2944.03 +/- 3641.52,0.0192488 +/- 0.00117539,1 +/- 0,0 +/- 0,0 +/- 0,-0.0126469 +/- 0.0177342,24
Supervised FM + physics selection,2,0.149064 +/- 0.107506,2937.08 +/- 3623.42,0 +/- 0,0.310412 +/- 0.606363,2940.18 +/- 3628.97,0.0371552 +/- 0.00472763,2 +/- 0,0 +/- 0,0 +/- 0,-0.0221895 +/- 0.0454945,24
Supervised FM + physics selection,5,0.197008 +/- 0.140579,2840.06 +/- 3438.04,0 +/- 0,0.310412 +/- 0.606363,2843.16 +/- 3443.61,0.090261 +/- 0.0177599,5 +/- 0,0 +/- 0,0 +/- 0,-0.0184646 +/- 0.0254349,24
Supervised FM + physics selection,10,0.32452 +/- 0.361166,2836.67 +/- 3414.87,0 +/- 0,0.310412 +/- 0.606363,2839.78 +/- 3420.51,0.191489 +/- 0.028505,10 +/- 0,0 +/- 0,0 +/- 0,-0.0219835 +/- 0.0349199,24
Supervised FM single,1,0.122984 +/- 0.0390429,2993.04 +/- 3687.24,0 +/- 0,0.310412 +/- 0.606363,2996.15 +/- 3692.77,0.0107096 +/- 0.00227244,1 +/- 0,0 +/- 0,0 +/- 0,-0.0182983 +/- 0.0214084,24
Supervised FM single,2,0.152161 +/- 0.11773,3034.71 +/- 3663.31,0 +/- 0,0.310412 +/- 0.606363,3037.81 +/- 3668.83,0.0216672 +/- 0.00403723,2 +/- 0,0 +/- 0,0 +/- 0,-0.0237378 +/- 0.0503076,24
Supervised FM single,5,0.16546 +/- 0.0933396,3141.09 +/- 3704.46,0 +/- 0,0.310412 +/- 0.606363,3144.2 +/- 3710.01,0.0551079 +/- 0.00828537,5 +/- 0,0 +/- 0,0 +/- 0,-0.0121549 +/- 0.0169315,24
Supervised FM single,10,0.360872 +/- 0.718466,3398.42 +/- 3747.9,0 +/- 0,0.310412 +/- 0.606363,3401.52 +/- 3753.5,0.104836 +/- 0.0169458,10 +/- 0,0 +/- 0,0 +/- 0,-0.0256187 +/- 0.0702363,24
