Case,LNO error,Supervised FM single improvement,RL-FM improvement
0,0.0853433609008789,-0.053626611828804016,0.0
1,0.18137988448143005,-0.007188364863395691,-0.005078181624412537
2,0.1332634538412094,-0.0027294009923934937,-0.0013600289821624756
3,0.07704642415046692,-0.02059362083673477,-0.02520892024040222
4,0.09630841761827469,-0.003424040973186493,-0.0008601024746894836
5,0.07756778597831726,-0.013691827654838562,-0.008805066347122192
6,0.07950345426797867,-0.007690176367759705,-0.010645166039466858
7,0.07611232995986938,-0.07659538090229034,-0.014792270958423615
8,0.0861954540014267,-0.0128864124417305,-9.558349847793579e-05
9,0.07679188251495361,-0.011930912733078003,-0.0067735761404037476
10,0.08107028901576996,-0.0071478113532066345,-0.0031940266489982605
11,0.15686391294002533,-0.0016068369150161743,-0.0011345148086547852
12,0.0768905058503151,-0.00400177389383316,0.0
13,0.13167448341846466,-0.004210159182548523,0.0017046481370925903
14,0.07670200616121292,-0.015838027000427246,-0.00801502913236618
15,0.13011258840560913,-0.002926349639892578,0.0016454905271530151
16,0.09914068132638931,-0.06362050026655197,0.0
17,0.15194588899612427,-0.001111358404159546,0.0027998238801956177
18,0.19138438999652863,-0.04947291314601898,-0.38118426501750946
19,0.07713769376277924,-0.006808392703533173,-0.035598136484622955
20,0.07698146253824234,-0.019557654857635498,0.0
21,0.07841647416353226,-0.006850078701972961,-0.00609154999256134
22,0.07640233635902405,-0.04382497817277908,-0.006945624947547913
23,0.1382169872522354,-0.0018246471881866455,-0.0006708502769470215
0,0.0853433609008789,-0.1047222912311554,-0.04512736201286316
1,0.18137988448143005,-0.00566844642162323,-0.003876790404319763
2,0.1332634538412094,-0.0039622485637664795,-0.004848286509513855
3,0.07704642415046692,-0.017868421971797943,0.0
4,0.09630841761827469,-0.006870679557323456,-0.0019420087337493896
5,0.07756778597831726,-0.003079727292060852,-0.041246481239795685
6,0.07950345426797867,-0.004145577549934387,0.0009276941418647766
7,0.07611232995986938,-0.059406816959381104,0.0
8,0.0861954540014267,-0.01718083769083023,0.0017570406198501587
