Method,Steps,Relative L2,PDE residual norm,BC error,IC error,Physics energy,Wall time,Refinement steps,STOP,Failure,Per-step improvement,Samples
Coarse + RL-FM,1,1.02434 +/- 0.465034,294872 +/- 40111.9,0.0734266 +/- 0.194409,0.331342 +/- 0.599181,294876 +/- 40113.3,0.0122365 +/- 0.00193036,0.875 +/- 0.330719,0.125 +/- 0.330719,0 +/- 0,-0.919654 +/- 0.451215,24
Coarse + RL-FM,2,1.00042 +/- 0.486041,294493 +/- 39660.3,0.0235812 +/- 0.113092,0.312899 +/- 0.605207,294496 +/- 39660.9,0.0249923 +/- 0.00336781,1.83333 +/- 0.471405,0.125 +/- 0.330719,0 +/- 0,-0.447869 +/- 0.235589,24
Coarse + RL-FM,5,0.956851 +/- 0.561993,295041 +/- 39586.6,0.0472679 +/- 0.15677,0.314577 +/- 0.604392,295045 +/- 39587.1,0.0460808 +/- 0.0230078,3.45833 +/- 2.0203,0.375 +/- 0.484123,0 +/- 0,-0.170433 +/- 0.109101,24
Coarse + RL-FM,10,0.961601 +/- 0.536267,295360 +/- 39368.7,0.0453974 +/- 0.150722,0.312497 +/- 0.605351,295364 +/- 39369.2,0.0711142 +/- 0.0494885,5.33333 +/- 4.34613,0.541667 +/- 0.498261,0 +/- 0,-0.0856915 +/- 0.0521945,24
Deterministic,1,0.102256 +/- 0.0336979,2918.26 +/- 3601.57,0 +/- 0,0.310412 +/- 0.606363,2921.36 +/- 3607.09,0.0065224 +/- 0.00115218,1 +/- 0,0 +/- 0,0 +/- 0,0.00242994 +/- 0.00338236,24
Deterministic,2,0.101771 +/- 0.0335045,2905.7 +/- 3581.62,0 +/- 0,0.310412 +/- 0.606363,2908.81 +/- 3587.14,0.0128139 +/- 0.00116301,2 +/- 0,0 +/- 0,0 +/- 0,0.00145748 +/- 0.00227001,24
Deterministic,5,0.101103 +/- 0.033305,2879.99 +/- 3538.17,0 +/- 0,0.310412 +/- 0.606363,2883.1 +/- 3543.67,0.0308085 +/- 0.0049657,5 +/- 0,0 +/- 0,0 +/- 0,0.000716462 +/- 0.00123002,24
Deterministic,10,0.102612 +/- 0.0363922,2902.56 +/- 3594.29,0 +/- 0,0.310412 +/- 0.606363,2905.66 +/- 3599.84,0.0604851 +/- 0.0080953,10 +/- 0,0 +/- 0,0 +/- 0,0.000207384 +/- 0.000458864,24
Gradient,1,0.113822 +/- 0.049001,3087.56 +/- 2836.33,0 +/- 0,0.310412 +/- 0.606363,3090.66 +/- 2841.91,0.00569226 +/- 0.00302844,1 +/- 0,0 +/- 0,0 +/- 0,-0.00913655 +/- 0.0231553,24
Gradient,2,0.105886 +/- 0.0376961,2698.78 +/- 2871.98,0 +/- 0,0.310412 +/- 0.606363,2701.89 +/- 2877.41,0.0096008 +/- 0.00152098,2 +/- 0,0 +/- 0,0 +/- 0,-0.000600273 +/- 0.00251628,24
